ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd
50,1,low,10,0.008155632,2,2,0,0,0,false,0
50,1,low,20,2.365931971,2,2,0.0,0,0,false,0
50,1,low,30,0.006029568,2,2,0.0,0,0,false,0
50,1,high,10,0.006964752,2,2,0.0,0,0,false,0
50,1,high,20,0.005914431,2,2,0.0,0,0,false,0
50,1,high,30,0.005633418,2,2,0.0,0,0,false,0
50,2,low,10,0.045497736,3,3,0.0,0,0,false,0
50,2,low,20,0.007810266,3,3,0.0,0,0,false,0
50,2,low,30,0.007680507,3,3,0.0,0,0,false,0
50,2,high,10,0.007644786,3,3,0.0,0,0,false,0
50,2,high,20,0.007624108,3,3,0.0,0,0,false,0
50,2,high,30,0.008041511,3,3,0.0,0,0,false,0
50,3,low,10,0.007123157,3,3,0.0,0,0,false,0
50,3,low,20,0.006472523,3,3,0.0,0,0,false,0
50,3,low,30,0.006562277,3,3,0.0,0,0,false,0
50,3,high,10,0.016843076,3,3,0.0,0,0,false,0
50,3,high,20,0.016267545,3,3,0.0,0,0,false,0
50,3,high,30,0.006526944,3,3,0.0,0,0,false,0
50,4,low,10,0.00601367,0,0,0.0,0,0,false,0
50,4,low,20,0.005410691,0,0,0.0,0,0,false,0
50,4,low,30,0.005220999,0,0,0.0,0,0,false,0
50,4,high,10,0.005905154,0,0,0.0,0,0,false,0
50,4,high,20,0.005491099,0,0,0.0,0,0,false,0
50,4,high,30,0.00554088,0,0,0.0,0,0,false,0
50,5,low,10,0.006894221,1,1,0.0,0,0,false,0
50,5,low,20,0.005995015,1,1,0.0,0,0,false,0
50,5,low,30,0.006005236,1,1,0.0,0,0,false,0
50,5,high,10,0.006545199,1,1,0.0,0,0,false,0
50,5,high,20,0.006144232,1,1,0.0,0,0,false,0
50,5,high,30,0.018346247,1,1,0.0,0,0,false,0
50,6,low,10,0.016526048,1,1,0.0,0,0,false,0
50,6,low,20,0.006068999,1,1,0.0,0,0,false,0
50,6,low,30,0.005830549,1,1,0.0,0,0,false,0
50,6,high,10,0.006822013,1,1,0.0,0,0,false,0
50,6,high,20,0.005926835,1,1,0.0,0,0,false,0
50,6,high,30,0.005751858,1,1,0.0,0,0,false,0
50,7,low,10,0.006172603,1,1,0.0,0,0,false,0
50,7,low,20,0.006181237,1,1,0.0,0,0,false,0
50,7,low,30,0.005950007,1,1,0.0,0,0,false,0
50,7,high,10,0.01822108,1,1,0.0,0,0,false,0
50,7,high,20,0.006106884,1,1,0.0,0,0,false,0
50,7,high,30,0.006214123,1,1,0.0,0,0,false,0
50,8,low,10,0.020617219,3,3,0.0,0,0,false,0
50,8,low,20,0.007336843,3,3,0.0,0,0,false,0
50,8,low,30,0.006561119,3,3,0.0,0,0,false,0
50,8,high,10,0.020552991,3,3,0.0,0,0,false,0
50,8,high,20,0.007344692,3,3,0.0,0,0,false,0
50,8,high,30,0.006484323,3,3,0.0,0,0,false,0
50,9,low,10,0.009189198,3,3,0.0,0,0,false,0
50,9,low,20,0.018496863,3,3,0.0,0,0,false,0
50,9,low,30,0.006802575,3,3,0.0,0,0,false,0
50,9,high,10,0.009267355,3,3,0.0,2,2,false,0
50,9,high,20,0.00717125,3,3,0.0,0,0,false,0
50,9,high,30,0.006690213,3,3,0.0,0,0,false,0
50,10,low,10,0.008097821,3,3,0.0,0,0,false,0
50,10,low,20,0.006521887,3,3,0.0,0,0,false,0
50,10,low,30,0.006308057,3,3,0.0,0,0,false,0
50,10,high,10,0.007259087,3,3,0.0,0,0,false,0
50,10,high,20,0.006505242,3,3,0.0,0,0,false,0
50,10,high,30,0.017921622,3,3,0.0,0,0,false,0
50,11,low,10,0.005887892,0,0,0.0,0,0,false,0
50,11,low,20,0.005735457,0,0,0.0,0,0,false,0
50,11,low,30,0.005397918,0,0,0.0,0,0,false,0
50,11,high,10,0.005937086,0,0,0.0,0,0,false,0
50,11,high,20,0.005364042,0,0,0.0,0,0,false,0
50,11,high,30,0.005171267,0,0,0.0,0,0,false,0
50,12,low,10,0.00841811,3,3,0.0,0,0,false,0
50,12,low,20,0.007841755,3,3,0.0,0,0,false,0
50,12,low,30,0.006445791,3,3,0.0,0,0,false,0
50,12,high,10,0.013350486,3,3,0.0,0,0,false,0
50,12,high,20,0.011631652,3,3,0.0,0,0,false,0
50,12,high,30,0.006628143,3,3,0.0,0,0,false,0
